embedding_start_time,embedding_end_time,retrieval_end_time,ask_model_end_time,answer_tokens_no,prompt_length,run_number
2024-10-25 11:25:03.866034,2024-10-25 11:25:04.229010,2024-10-25 11:25:04.375520,2024-10-25 11:25:07.825128,188,451,1
2024-10-25 11:25:07.902160,2024-10-25 11:25:08.032725,2024-10-25 11:25:08.069801,2024-10-25 11:25:22.906757,378,425,1
2024-10-25 11:25:22.918945,2024-10-25 11:25:22.946250,2024-10-25 11:25:22.992977,2024-10-25 11:25:42.741439,469,420,1
2024-10-25 11:25:42.747446,2024-10-25 11:25:42.788501,2024-10-25 11:25:42.818518,2024-10-25 11:26:02.803020,510,371,1
2024-10-25 11:26:02.808025,2024-10-25 11:26:02.821493,2024-10-25 11:26:02.852259,2024-10-25 11:26:04.924799,118,321,1
2024-10-25 11:26:04.927847,2024-10-25 11:26:04.940835,2024-10-25 11:26:04.980507,2024-10-25 11:26:15.049387,243,447,1
2024-10-25 11:26:15.057273,2024-10-25 11:26:15.083993,2024-10-25 11:26:15.117661,2024-10-25 11:26:33.807859,454,322,1
2024-10-25 11:26:33.812379,2024-10-25 11:26:33.837380,2024-10-25 11:26:33.849386,2024-10-25 11:26:43.216316,237,313,1
2024-10-25 11:26:43.219924,2024-10-25 11:26:43.260911,2024-10-25 11:26:43.282882,2024-10-25 11:26:54.850278,272,460,1
2024-10-25 11:26:54.855288,2024-10-25 11:26:54.880288,2024-10-25 11:26:54.912280,2024-10-25 11:27:14.595477,448,451,1
2024-10-25 11:29:05.630407,2024-10-25 11:29:05.646085,2024-10-25 11:29:05.671953,2024-10-25 11:29:14.990537,384,451,1
2024-10-25 11:29:14.990537,2024-10-25 11:29:15.038867,2024-10-25 11:29:15.071021,2024-10-25 11:29:35.643892,489,425,1
2024-10-25 11:29:35.643892,2024-10-25 11:29:35.659798,2024-10-25 11:29:35.690657,2024-10-25 11:29:42.360371,163,420,1
2024-10-25 11:29:42.360371,2024-10-25 11:29:42.391686,2024-10-25 11:29:42.423147,2024-10-25 11:29:50.217799,183,371,1
2024-10-25 11:29:50.217799,2024-10-25 11:29:50.233482,2024-10-25 11:29:50.264691,2024-10-25 11:29:59.883633,236,321,1
2024-10-25 11:29:59.888537,2024-10-25 11:29:59.909668,2024-10-25 11:29:59.925331,2024-10-25 11:30:17.945767,424,447,1
2024-10-25 11:30:17.949176,2024-10-25 11:30:17.980136,2024-10-25 11:30:17.980136,2024-10-25 11:30:20.744015,60,322,1
2024-10-25 11:30:20.744015,2024-10-25 11:30:20.759704,2024-10-25 11:30:20.791858,2024-10-25 11:30:33.785839,323,313,1
2024-10-25 11:30:33.785839,2024-10-25 11:30:33.834836,2024-10-25 11:30:33.876578,2024-10-25 11:30:55.322930,479,460,1
2024-10-25 11:30:55.322930,2024-10-25 11:30:55.354671,2024-10-25 11:30:55.370591,2024-10-25 11:31:11.777842,372,451,1
